105,5,8.630e+00,-1.05E+01,140.786,8.586e+00,117.855,2.740e+01
110,5,7.665e+00,-1.03E+01,137.443,7.607e+00,111.979,2.531e+01
115,5,6.629e+00,-9.87E+00,135.21,6.555e+00,105.375,2.264e+01
120,5,5.491e+00,-9.43E+00,134.212,5.398e+00,97.904,1.957e+01
125,5,4.213e+00,-8.98E+00,134.437,4.105e+00,89.299,1.629e+01
130,5,2.755e+00,-8.55E+00,135.767,2.651e+00,79.098,1.297e+01
135,5,1.102e+00,-8.15E+00,138.01,1.043e+00,66.561,9.769e+00
140,5,-6.28E-01,-7.80E+00,140.908,-6.28E-01,50.705,7.167e+00
145,5,-1.87E+00,-7.53E+00,144.164,-2.11E+00,30.802,6.655e+00
150,5,-2.09E+00,-7.40E+00,147.478,-3.04E+00,7.756,1.004e+01
155,5,-1.90E+00,-7.47E+00,150.576,-3.24E+00,344.655,1.919e+01
160,5,-1.79E+00,-7.85E+00,153.222,-3.00E+00,324.129,2.330e+01
165,5,-1.90E+00,-8.68E+00,155.191,-2.71E+00,306.323,1.391e+01
170,5,-2.19E+00,-1.02E+01,156.142,-2.57E+00,289.943,1.122e+01
175,5,-2.48E+00,-1.29E+01,155.158,-2.57E+00,273.587,1.167e+01
180,5,-2.56E+00,-1.83E+01,147.564,-2.57E+00,256.463,1.626e+01
185,5,-2.34E+00,-2.76E+01,60.014,-2.35E+00,238.96,4.000e+01
190,5,-1.71E+00,-1.60E+01,3.216,-1.81E+00,222.64,1.831e+01
195,5,-6.92E-01,-1.04E+01,356.854,-1.05E+00,209.117,1.550e+01
200,5,4.355e-01,-7.05E+00,354.835,-2.86E-01,199.041,1.595e+01
205,5,1.390e+00,-4.84E+00,353.899,3.105e-01,192.24,1.735e+01
210,5,2.044e+00,-3.33E+00,353.33,6.411e-01,188.299,1.854e+01
215,5,2.369e+00,-2.34E+00,352.888,6.652e-01,186.911,1.873e+01
220,5,2.370e+00,-1.76E+00,352.465,3.717e-01,188.002,1.757e+01
225,5,2.056e+00,-1.52E+00,352.001,-2.30E-01,191.791,1.527e+01
230,5,1.431e+00,-1.57E+00,351.451,-1.10E+00,198.861,1.227e+01
235,5,4.866e-01,-1.90E+00,350.767,-2.11E+00,210.186,8.920e+00
240,5,-8.03E-01,-2.46E+00,349.892,-2.96E+00,226.721,5.361e+00
245,5,-2.45E+00,-3.27E+00,348.744,-3.15E+00,247.794,1.675e+00
250,5,-2.05E+00,-4.32E+00,347.201,-2.34E+00,269.678,2.761e+00
255,5,-2.74E-01,-5.62E+00,345.073,-7.86E-01,288.515,7.432e+00
260,5,1.441e+00,-7.22E+00,342.038,1.041e+00,303.47,1.316e+01
265,5,3.104e+00,-9.16E+00,337.514,2.874e+00,315.473,2.100e+01
270,5,4.724e+00,-1.15E+01,330.333,4.620e+00,325.548,3.792e+01
275,5,6.299e+00,-1.44E+01,317.96,6.264e+00,334.389,3.167e+01
280,5,7.820e+00,-1.73E+01,295.244,7.813e+00,342.408,2.786e+01
285,5,9.277e+00,-1.87E+01,259.856,9.277e+00,349.842,2.795e+01
290,5,1.066e+01,-1.72E+01,228.115,1.066e+01,356.832,3.004e+01
295,5,1.197e+01,-1.51E+01,208.791,1.196e+01,3.467,3.440e+01
300,5,1.319e+01,-1.33E+01,196.427,1.318e+01,9.815,4.000e+01
305,5,1.431e+01,-1.20E+01,186.85,1.430e+01,15.933,4.000e+01
310,5,1.533e+01,-1.11E+01,178.03,1.532e+01,21.881,3.427e+01
315,5,1.624e+01,-1.04E+01,168.925,1.623e+01,27.72,3.071e+01
320,5,1.703e+01,-9.86E+00,159.063,1.703e+01,33.517,2.868e+01
325,5,1.770e+01,-9.28E+00,148.512,1.770e+01,39.343,2.748e+01
330,5,1.825e+01,-8.58E+00,137.896,1.825e+01,45.272,2.683e+01
335,5,1.867e+01,-7.72E+00,128.163,1.867e+01,51.377,2.663e+01
340,5,1.898e+01,-6.77E+00,120.136,1.898e+01,57.724,2.680e+01
345,5,1.919e+01,-5.82E+00,114.21,1.918e+01,64.361,2.735e+01
350,5,1.931e+01,-4.98E+00,110.404,1.930e+01,71.305,2.830e+01
355,5,1.936e+01,-4.29E+00,108.541,1.935e+01,78.525,2.968e+01
0,10,1.936e+01,3.080e+00,95.882,1.926e+01,85.799,3.152e+01
5,10,1.934e+01,3.276e+00,100.409,1.923e+01,92.321,3.321e+01
10,10,1.931e+01,3.399e+00,105.488,1.919e+01,98.759,3.464e+01
15,10,1.926e+01,3.463e+00,110.928,1.914e+01,104.927,3.552e+01
20,10,1.919e+01,3.470e+00,116.511,1.907e+01,110.659,3.567e+01
25,10,1.909e+01,3.414e+00,122.028,1.897e+01,115.826,3.512e+01
30,10,1.894e+01,3.283e+00,127.312,1.882e+01,120.355,3.411e+01
35,10,1.872e+01,3.066e+00,132.246,1.860e+01,124.218,3.287e+01
40,10,1.844e+01,2.752e+00,136.758,1.832e+01,127.418,3.159e+01
45,10,1.807e+01,2.337e+00,140.809,1.796e+01,129.976,3.037e+01
50,10,1.763e+01,1.819e+00,144.374,1.752e+01,131.92,2.924e+01
55,10,1.711e+01,1.207e+00,147.429,1.700e+01,133.275,2.824e+01
60,10,1.652e+01,5.092e-01,149.943,1.642e+01,134.057,2.737e+01
65,10,1.587e+01,-2.59E-01,151.869,1.578e+01,134.276,2.662e+01
70,10,1.518e+01,-1.08E+00,153.153,1.509e+01,133.938,2.601e+01
75,10,1.444e+01,-1.94E+00,153.73,1.435e+01,133.041,2.551e+01
80,10,1.368e+01,-2.81E+00,153.541,1.359e+01,131.587,2.512e+01
85,10,1.289e+01,-3.68E+00,152.549,1.280e+01,129.579,2.482e+01
90,10,1.208e+01,-4.51E+00,150.755,1.200e+01,127.023,2.458e+01
95,10,1.126e+01,-5.29E+00,148.231,1.118e+01,123.935,2.434e+01
100,10,1.042e+01,-5.99E+00,145.135,1.033e+01,120.329,2.404e+01
105,10,9.547e+00,-6.60E+00,141.722,9.459e+00,116.217,2.355e+01
110,10,8.630e+00,-7.11E+00,138.339,8.537e+00,111.592,2.277e+01
115,10,7.644e+00,-7.52E+00,135.384,7.541e+00,106.41,2.156e+01
120,10,6.555e+00,-7.84E+00,133.257,6.440e+00,100.562,1.986e+01
125,10,5.322e+00,-8.07E+00,132.3,5.196e+00,93.836,1.765e+01
130,10,3.898e+00,-8.22E+00,132.723,3.767e+00,85.85,1.499e+01
135,10,2.236e+00,-8.28E+00,134.535,2.123e+00,75.954,1.201e+01
140,10,3.259e-01,-8.23E+00,137.474,2.750e-01,63.113,8.934e+00
145,10,-1.63E+00,-8.09E+00,141.026,-1.64E+00,45.935,6.507e+00
150,10,-2.76E+00,-7.92E+00,144.555,-3.24E+00,23.586,6.976e+00
155,10,-2.77E+00,-7.84E+00,147.48,-4.03E+00,358.015,1.221e+01
160,10,-2.54E+00,-7.98E+00,149.362,-3.99E+00,333.589,2.955e+01
165,10,-2.47E+00,-8.54E+00,149.814,-3.61E+00,312.384,1.768e+01
170,10,-2.61E+00,-9.77E+00,148.168,-3.26E+00,293.336,1.267e+01
175,10,-2.75E+00,-1.21E+01,142.448,-3.00E+00,274.705,1.221e+01
180,10,-2.56E+00,-1.62E+01,124.184,-2.65E+00,255.686,1.626e+01
185,10,-1.93E+00,-1.90E+01,62.545,-2.01E+00,237.062,3.758e+01
190,10,-8.59E-01,-1.31E+01,17.466,-1.09E+00,220.603,2.060e+01
195,10,4.606e-01,-8.38E+00,4.503,-6.02E-02,207.526,1.751e+01
200,10,1.727e+00,-5.22E+00,359.188,8.385e-01,197.932,1.769e+01
205,10,2.727e+00,-3.03E+00,356.39,1.465e+00,191.346,1.879e+01
210,10,3.379e+00,-1.51E+00,354.703,1.743e+00,187.267,1.977e+01
215,10,3.671e+00,-4.84E-01,353.612,1.636e+00,185.391,1.999e+01
220,10,3.615e+00,1.486e-01,352.884,1.115e+00,185.691,1.905e+01
225,10,3.230e+00,4.555e-01,352.402,1.496e-01,188.51,1.699e+01
230,10,2.532e+00,4.857e-01,352.097,-1.30E+00,194.827,1.413e+01
235,10,1.548e+00,2.767e-01,351.931,-3.19E+00,206.86,1.085e+01
240,10,3.506e-01,-1.43E-01,351.882,-5.10E+00,228.574,7.503e+00
245,10,-7.48E-01,-7.49E-01,351.948,-5.56E+00,260.519,4.818e+00
250,10,-6.88E-01,-1.53E+00,352.15,-3.75E+00,289.982,4.969e+00
